seg,rgn,greenland,island,segID,rgnID
Spain8446,ESP,0,0,8446,39
Spain8447,ESP,0,0,8447,39
Spain8452,ESP,0,0,8452,39
Spain8469,ESP,0,0,8469,39
Spain8476,ESP,0,0,8476,39
Spain8477,ESP,0,0,8477,39
Spain8478,ESP,0,0,8478,39
Spain8550,ESP,0,0,8550,39
Spain8557,ESP,0,0,8557,39
Spain8558,ESP,0,0,8558,39
Spain8559,ESP,0,0,8559,39
Turkey677,TUR,0,0,677,133
Ukraine630,UKR,0,0,630,136
Ukraine625,UKR,0,0,625,136
Ukraine626,UKR,0,0,626,136
Ukraine627,UKR,0,0,627,136
Ukraine628,UKR,0,0,628,136
Ukraine629,UKR,0,0,629,136
Ukraine573,UKR,0,0,573,136
Ukraine574,UKR,0,0,574,136
Ukraine575,UKR,0,0,575,136
Ukraine576,UKR,0,0,576,136
Ukraine577,UKR,0,0,577,136
Ukraine578,UKR,0,0,578,136
Ukraine579,UKR,0,0,579,136
Ukraine583,UKR,0,0,583,136
Ukraine584,UKR,0,0,584,136
Ukraine585,UKR,0,0,585,136
Ukraine566,UKR,0,0,566,136
Ukraine567,UKR,0,0,567,136
Ukraine568,UKR,0,0,568,136
Ukraine569,UKR,0,0,569,136
Ukraine570,UKR,0,0,570,136
Ukraine571,UKR,0,0,571,136
Ukraine572,UKR,0,0,572,136
Ukraine619,UKR,0,0,619,136
Ukraine621,UKR,0,0,621,136
Ukraine620,UKR,0,0,620,136
Ukraine622,UKR,0,0,622,136
Ukraine623,UKR,0,0,623,136
Ukraine624,UKR,0,0,624,136
Ukraine586,UKR,0,0,586,136
Ukraine587,UKR,0,0,587,136
Ukraine588,UKR,0,0,588,136
Ukraine589,UKR,0,0,589,136
Ukraine590,UKR,0,0,590,136
Ukraine591,UKR,0,0,591,136
Ukraine592,UKR,0,0,592,136
Ukraine593,UKR,0,0,593,136
Ukraine594,UKR,0,0,594,136
Ukraine595,UKR,0,0,595,136
Ukraine614,UKR,0,0,614,136
Ukraine615,UKR,0,0,615,136
Ukraine616,UKR,0,0,616,136
Ukraine617,UKR,0,0,617,136
Ukraine618,UKR,0,0,618,136
Ukraine602,UKR,0,0,602,136
Ukraine603,UKR,0,0,603,136
Ukraine604,UKR,0,0,604,136
Ukraine605,UKR,0,0,605,136
Ukraine606,UKR,0,0,606,136
Ukraine607,UKR,0,0,607,136
Ukraine608,UKR,0,0,608,136
Ukraine609,UKR,0,0,609,136
Ukraine610,UKR,0,0,610,136
Ukraine611,UKR,0,0,611,136
Ukraine612,UKR,0,0,612,136
Ukraine613,UKR,0,0,613,136
Ukraine596,UKR,0,0,596,136
Ukraine597,UKR,0,0,597,136
Ukraine598,UKR,0,0,598,136
Ukraine599,UKR,0,0,599,136
Ukraine600,UKR,0,0,600,136
Ukraine601,UKR,0,0,601,136
Ukraine580,UKR,0,0,580,136
Ukraine581,UKR,0,0,581,136
Ukraine582,UKR,0,0,582,136
Canada7717,CAN,0,0,7717,18
Japan11177,JPN,0,0,11177,69
Japan11178,JPN,0,0,11178,69
Japan11184,JPN,0,0,11184,69
Japan11279,JPN,0,0,11279,69
Japan11281,JPN,0,0,11281,69
Japan10880,JPN,0,0,10880,69
Japan10881,JPN,0,0,10881,69
Japan10882,JPN,0,0,10882,69
Japan10883,JPN,0,0,10883,69
Japan10884,JPN,0,0,10884,69
Japan10885,JPN,0,0,10885,69
Japan10886,JPN,0,0,10886,69
Japan11109,JPN,0,0,11109,69
Japan11115,JPN,0,0,11115,69
Japan11116,JPN,0,0,11116,69
Japan11117,JPN,0,0,11117,69
Japan11161,JPN,0,0,11161,69
Japan11163,JPN,0,0,11163,69
Japan11175,JPN,0,0,11175,69
Spain8479,ESP,0,0,8479,39
Spain8480,ESP,0,0,8480,39
Spain8481,ESP,0,0,8481,39
Spain8482,ESP,0,0,8482,39
Spain8483,ESP,0,0,8483,39
Spain8484,ESP,0,0,8484,39
Spain8485,ESP,0,0,8485,39
Spain8486,ESP,0,0,8486,39
Spain8534,ESP,0,0,8534,39
Spain8535,ESP,0,0,8535,39
Spain8536,ESP,0,0,8536,39
Spain8537,ESP,0,0,8537,39
Spain8538,ESP,0,0,8538,39
UnitedStates4079,USA,0,0,4079,138
UnitedStates4089,USA,0,0,4089,138
UnitedStates4090,USA,0,0,4090,138
UnitedStates4091,USA,0,0,4091,138
UnitedStates4092,USA,0,0,4092,138
UnitedStates4093,USA,0,0,4093,138
UnitedStates4094,USA,0,0,4094,138
