name,iso3,continent,patterns_area,patterns_gdp_2000,patterns_pop_2000,patterns_gdp_2100,patterns_pop_2100,scenario,source,source_id
Malta,MLT,Eurasia,0.7711464166641235,0.7711463570594788,0.7711463570594788,0.7711463570594788,0.7711463570594788,ssp1,MRI-ESM2-0,18
N. Mariana Is.,MNP,Australia,0.7576472163200378,0.7576473355293274,0.7576473355293274,0.7576472759246826,0.7576472759246826,ssp1,MRI-ESM2-0,18
Montserrat,MSR,South America,0.6084661483764648,0.6084661483764648,0.6084661483764648,0.6084661483764648,0.6084661483764648,ssp1,MRI-ESM2-0,18
Mauritius,MUS,Africa,0.8631275296211243,0.8631274700164795,0.8631275296211243,0.8631274700164795,0.8631274700164795,ssp1,MRI-ESM2-0,18
Norfolk Island,NFK,Australia,0.9511454701423645,0.9511454105377197,0.9511454105377197,0.9511454701423645,0.9511454701423645,ssp1,MRI-ESM2-0,18
Niue,NIU,Australia,0.7208554148674011,0.7208553552627563,0.7208553552627563,0.7208554148674011,0.7208553552627563,ssp1,MRI-ESM2-0,18
Nauru,NRU,Australia,0.8266596794128418,0.8266597390174866,0.8266596794128418,0.8266597390174866,0.8266596794128418,ssp1,MRI-ESM2-0,18
Pitcairn Is.,PCN,Australia,0.6921008825302124,0.6921009421348572,0.6921008825302124,0.6921009421348572,0.6921008825302124,ssp1,MRI-ESM2-0,18
Palau,PLW,Australia,0.7712271213531494,0.7712270021438599,0.7712270617485046,0.7712270617485046,0.7712270617485046,ssp1,MRI-ESM2-0,18
Fr. Polynesia,PYF,Australia,0.7391587495803833,0.7391587495803833,0.7391587495803833,0.7391587495803833,0.7391587495803833,ssp1,MRI-ESM2-0,18
Singapore,SGP,Eurasia,0.9085952639579773,0.9085952639579773,0.9085953235626221,0.9085952639579773,0.9085952639579773,ssp1,MRI-ESM2-0,18
S. Geo. and S. Sandw. Is.,SGS,Eurasia,0.6444449424743652,0.6444449424743652,0.6444449424743652,0.64444500207901,0.6444449424743652,ssp1,MRI-ESM2-0,18
Saint Helena,SHN,Africa,0.9142947793006897,0.9142947196960449,0.9142948389053345,0.9142947793006897,0.9142948389053345,ssp1,MRI-ESM2-0,18
San Marino,SMR,Eurasia,0.8623014688491821,0.8623014688491821,0.8623014688491821,0.8623014688491821,0.8623014092445374,ssp1,MRI-ESM2-0,18
St. Pierre and Miquelon,SPM,North America,0.9871532320976257,0.9869314432144165,0.9869314432144165,0.9869316220283508,0.9869319796562195,ssp1,MRI-ESM2-0,18
Sao Tome and Principe,STP,Africa,0.9968398809432983,0.9968398213386536,0.9968398213386536,0.9968398809432983,0.9968398809432983,ssp1,MRI-ESM2-0,18
Sint Maarten,SXM,Eurasia,0.6419356465339661,0.6419356465339661,0.6419357061386108,0.6419357061386108,0.6419357061386108,ssp1,MRI-ESM2-0,18
Seychelles,SYC,Africa,0.8531650304794312,0.8531649708747864,0.8531650304794312,0.8531650304794312,0.8531649708747864,ssp1,MRI-ESM2-0,18
Turks and Caicos Is.,TCA,South America,0.7348177433013916,0.7348177433013916,0.7348177433013916,0.7348177433013916,0.7348178029060364,ssp1,MRI-ESM2-0,18
Tonga,TON,Australia,0.7549242377281189,0.7549242973327637,0.7549242377281189,0.7549242973327637,0.7549242377281189,ssp1,MRI-ESM2-0,18
Vatican,VAT,Eurasia,0.9536843299865723,0.9536842703819275,0.9536843299865723,0.9536843299865723,0.9536842703819275,ssp1,MRI-ESM2-0,18
St. Vin. and Gren.,VCT,South America,0.6293728947639465,0.6293728947639465,0.6293728947639465,0.6293728351593018,0.6293728947639465,ssp1,MRI-ESM2-0,18
British Virgin Is.,VGB,South America,0.64450603723526,0.64450603723526,0.64450603723526,0.6445060968399048,0.6445060968399048,ssp1,MRI-ESM2-0,18
U.S. Virgin Is.,VIR,South America,0.6436383128166199,0.6436383128166199,0.6436383128166199,0.6436383128166199,0.6436383128166199,ssp1,MRI-ESM2-0,18
Wallis and Futuna,WLF,Australia,0.7207796573638916,0.7207797169685364,0.7207797169685364,0.7207797169685364,0.7207797765731812,ssp1,MRI-ESM2-0,18
Samoa,WSM,Australia,0.7226188778877258,0.7226188778877258,0.722618818283081,0.722618818283081,0.722618818283081,ssp1,MRI-ESM2-0,18
Tuvalu,TUV,Australia,0.7367024421691895,0.7367024421691895,0.7367024421691895,0.7367024421691895,0.7367024421691895,ssp1,MRI-ESM2-0,18
French Guiana,GUF,NA,0.9158692955970764,0.7941949367523193,0.8030818104743958,0.7942220568656921,0.7995017766952515,ssp1,MRI-ESM2-0,18
Afghanistan,AFG,Eurasia,1.4147013425827026,1.400597333908081,1.4022648334503174,1.4088670015335083,1.4090862274169922,ssp1,NESM3,19
Angola,AGO,Africa,0.879974901676178,0.8521141409873962,0.8650814294815063,0.8580254316329956,0.8589862585067749,ssp1,NESM3,19
Albania,ALB,Eurasia,1.3204543590545654,1.3252698183059692,1.3553686141967773,1.3192598819732666,1.3550286293029785,ssp1,NESM3,19
United Arab Emirates,ARE,Eurasia,1.1487752199172974,1.0860588550567627,1.0856932401657104,1.0323431491851807,1.0615648031234741,ssp1,NESM3,19
Argentina,ARG,South America,1.0606111288070679,1.017076015472412,1.0323710441589355,0.9833541512489319,1.0354819297790527,ssp1,NESM3,19
Armenia,ARM,Eurasia,1.3820908069610596,1.379081130027771,1.3794327974319458,1.3789758682250977,1.3795500993728638,ssp1,NESM3,19
Fr. S. and Antarctic Lands,ATF,NA,0.7172735929489136,0.6729624271392822,0.6729624271392822,0.6729624271392822,0.6729624271392822,ssp1,NESM3,19
Australia,AUS,Australia,0.9547269344329834,0.7992103099822998,0.7895480990409851,0.7937236428260803,0.7970989942550659,ssp1,NESM3,19
Austria,AUT,Eurasia,1.3372100591659546,1.330804467201233,1.3343372344970703,1.3306015729904175,1.3336429595947266,ssp1,NESM3,19
Azerbaijan,AZE,Eurasia,1.2879902124404907,1.2788000106811523,1.2930570840835571,1.2669132947921753,1.2787442207336426,ssp1,NESM3,19
Burundi,BDI,Africa,0.7096956968307495,0.711106538772583,0.7120606899261475,0.7131678462028503,0.7128973603248596,ssp1,NESM3,19
Belgium,BEL,Eurasia,1.0278342962265015,1.0131685733795166,1.0050090551376343,1.0049054622650146,1.0058989524841309,ssp1,NESM3,19
Benin,BEN,Africa,0.7767950892448425,0.8632659912109375,0.8602572679519653,0.8223680853843689,0.815187931060791,ssp1,NESM3,19
